,Value,Positions,Height,Main position
Nathan Ake,€40.00m,"['Centre-Back', 'Left-Back']","1,80 m",Centre-Back
Stefan Ortega,€9.00m,['Goalkeeper'],"1,85 m",Goalkeeper
Erling Haaland,€200.00m,['Centre-Forward'],"1,95 m",Centre-Forward
Bernardo Silva,€70.00m,"['Attacking Midfield', 'Right Winger', 'Central Midfield']","1,73 m",Attacking Midfield
Matheus Nunes,€40.00m,"['Central Midfield', 'Attacking Midfield']","1,83 m",Central Midfield
Michail Antonio,€4.00m,"['Centre-Forward', 'Right Midfield', 'Left Midfield']","1,80 m",Centre-Forward
Lucas Paqueta,€55.00m,"['Attacking Midfield', 'Central Midfield', 'Left Midfield']","1,80 m",Attacking Midfield
Jarrod Bowen,€50.00m,"['Right Winger', 'Second Striker', 'Centre-Forward']","1,76 m",Right Winger
Guido Rodriguez,€20.00m,"['Defensive Midfield', 'Central Midfield']","1,85 m",Defensive Midfield
Crysencio Summerville,€22.00m,"['Left Winger', 'Right Winger']","1,74 m",Left Winger
Carlos Soler,€20.00m,"['Central Midfield', 'Right Midfield', 'Attacking Midfield']","1,80 m",Central Midfield
Luis Guilherme,€24.00m,"['Right Winger', 'Attacking Midfield', 'Left Winger']","1,75 m",Right Winger
Jean-Clair Todibo,€35.00m,['Centre-Back'],"1,90 m",Centre-Back
Konstantinos Mavropanos,€20.00m,['Centre-Back'],"1,94 m",Centre-Back
Aaron Cresswell,€900k,"['Left-Back', 'Left Midfield', 'Centre-Back']","1,70 m",Left-Back
Alphonse Areola,€10.00m,['Goalkeeper'],"1,95 m",Goalkeeper
Tomas Soucek,€30.00m,"['Defensive Midfield', 'Central Midfield', 'Attacking Midfield']","1,92 m",Defensive Midfield
Vladimir Coufal,€8.00m,"['Right-Back', 'Right Midfield']","1,74 m",Right-Back
Niclas Fullkrug,€15.00m,['Centre-Forward'],"1,89 m",Centre-Forward
